# %ECSV 0.9
# ---
# meta: !!omap
# - OBJECT: 1ES2344+514
#
# - DESCRIBE:
#     flux values from VERITAS monitoring observations taken between 2007 and 2015
#
# - MJD:
#    START: 54313 # unit=day
#    END: 57500 # unit=day
#
# - ARTICLE:
#    label: MNRAS 471, 2117 (2017)
#    url: https://doi.org/10.1093/mnras/stx1756
#    arxiv: http://arxiv.org/abs/1708.02829
#    ads: http://adsabs.harvard.edu/abs/2017MNRAS.471.2117A
#
# - COMMENTS:
#    Name: 1ES2344+514
#    Tag: 2007-2015
#    Redshift: 0.044
#    LiveTime: 47.2 # unit=hour
#    Significance: 20.8
#    EnergyThreshold: 350 # unit=GeV
#    AssumedSpectrum: PowerLaw
#    AssumedIndex: -2.46
#    Emin: 0.35 # unit=TeV
#    Emax: 5 # unit=TeV
#
# - LC_TYPE: int_flux_points
# 
# datatype:
# - name: mjd
#   unit: day
#   datatype: float64
# - name: mjd_err
#   unit: day
#   datatype: float64
# - name: flux
#   unit: ph / (cm2 s)
#   datatype: float64
# - name: flux_err
#   unit: ph / (cm2 s)
#   datatype: float64
# - name: upper_limit
#   datatype: uint8
#
mjd mjd_err flux flux_err upper_limit
54377.18553 0.01532 1.49203e-11 6.96809e-12 0
54378.35595 0.01392 5.24816e-12 0 1
54379.20410 0.01392 1.31323e-11 7.19639e-12 0
54381.32173 0.02498 1.10277e-11 4.41053e-12 0
54382.29860 0.04448 1.63608e-11 3.38182e-12 0
54383.26361 0.02671 8.67902e-12 3.45028e-12 0
54384.34911 0.01111 1.15437e-11 8.38629e-12 0
54385.36816 0.01190 3.54979e-12 0 1
54386.22562 0.02126 1.41291e-11 5.05039e-12 0
54387.18128 0.06441 7.00005e-12 4.82602e-12 0
54388.20327 0.03764 3.41236e-12 4.10114e-12 0
54389.22126 0.02158 8.72968e-12 4.29972e-12 0
54390.35077 0.01392 7.31506e-12 6.59821e-12 0
54394.37164 0.01625 2.73842e-12 0 1
54404.20501 0.01323 6.89836e-12 5.80078e-12 0
54406.30835 0.02129 6.08630e-12 4.71358e-12 0
54407.29706 0.01392 6.93111e-12 0 1
54408.22049 0.01392 5.63356e-12 0 1
54409.28263 0.02088 5.98087e-12 5.33031e-12 0
54410.18989 0.01181 1.16629e-11 7.18947e-12 0
54411.30423 0.01392 1.34874e-11 7.96980e-12 0
54413.24999 0.01392 1.74379e-11 7.62952e-12 0
54415.19953 0.01390 3.03871e-12 5.61682e-12 0
54416.22370 0.01392 3.24745e-12 5.53528e-12 0
54417.19058 0.01392 1.20314e-11 6.98709e-12 0
54418.17991 0.01394 1.51473e-12 5.21060e-12 0
54419.15834 0.00972 6.63125e-12 6.44494e-12 0
54421.14848 0.01392 1.76119e-11 7.48362e-12 0
54438.11009 0.01392 5.91917e-12 6.33276e-12 0
54439.17830 0.06492 3.64385e-11 3.64591e-12 0
54440.15606 0.01389 3.31290e-11 9.14970e-12 0
54448.21692 0.01392 8.27727e-12 7.77182e-12 0
54449.22036 0.01392 6.88474e-12 7.98003e-12 0
54464.12087 0.01392 1.62778e-11 7.97840e-12 0
54465.12310 0.01250 8.94111e-12 7.70280e-12 0
54466.08835 0.01253 2.60695e-11 9.32274e-12 0
54475.11530 0.01392 1.41214e-11 8.23388e-12 0
54476.15752 0.01392 8.12895e-12 8.24999e-12 0
54763.23386 0.01573 3.54005e-12 0 1
55471.23814 0.01392 6.08224e-12 4.36612e-12 0
55477.25440 0.01392 5.43086e-12 4.38254e-12 0
55479.27884 0.01392 6.49207e-13 4.08880e-12 0
55481.24887 0.01392 8.63834e-12 5.32503e-12 0
55501.16801 0.01392 5.24941e-12 4.41804e-12 0
55503.21817 0.02172 3.99999e-12 3.39789e-12 0
55505.18780 0.01392 1.08301e-11 5.78059e-12 0
55509.17664 0.00698 3.65349e-12 0 1
55511.18825 0.01392 7.97234e-12 5.18164e-12 0
55513.24668 0.01391 3.83315e-12 0 1
55526.12867 0.01392 2.09261e-12 0 1
55528.08982 0.01392 4.66506e-12 4.50359e-12 0
55530.10454 0.01392 3.56742e-12 4.13536e-12 0
55535.18596 0.01653 2.93279e-12 0 1
55536.12808 0.02121 4.04090e-12 3.14072e-12 0
55538.10299 0.01253 4.05266e-12 0 1
55835.26899 0.01391 1.12314e-11 5.06914e-12 0
55837.26079 0.01391 1.09084e-11 5.12130e-12 0
55854.23734 0.01322 2.70419e-12 0 1
55856.25713 0.01044 5.35141e-13 3.18847e-12 0
55858.24309 0.01391 2.54425e-12 0 1
55860.21435 0.01391 2.56321e-12 0 1
55862.19637 0.01391 2.28422e-12 3.45609e-12 0
55865.18333 0.01391 2.66626e-12 0 1
55888.10210 0.01391 9.72092e-12 4.97785e-12 0
55892.16512 0.01391 1.46926e-12 3.51848e-12 0
56185.30711 0.01391 8.97238e-12 4.44110e-12 0
56203.30316 0.01391 1.64498e-12 1.64498e-12 0
56208.22576 0.01391 1.06797e-11 5.08457e-12 0
56211.26795 0.05705 1.11529e-11 2.05142e-12 0
56214.27055 0.01391 3.62897e-12 3.20758e-12 0
56220.24226 0.01391 1.59823e-12 3.30076e-12 0
56223.25587 0.01391 6.11760e-12 3.78529e-12 0
56264.11866 0.01391 6.77687e-12 4.10360e-12 0
56273.10633 0.01391 1.00385e-11 4.89322e-12 0
56564.43481 0.03160 3.79864e-12 3.52875e-12 0
56565.26502 0.02087 1.20622e-12 2.17454e-12 0
56568.19101 0.02052 2.17399e-12 0 1
56571.36575 0.02087 2.67526e-12 0 1
56574.21498 0.02087 2.78427e-12 2.70605e-12 0
56577.30210 0.02041 2.83879e-12 2.75904e-12 0
56589.29712 0.02087 9.45993e-13 2.99149e-12 0
56592.27111 0.03170 1.00960e-12 0 1
56594.23080 0.00698 5.85528e-12 5.15513e-12 0
56602.13592 0.02226 2.66478e-12 2.30030e-12 0
56605.15117 0.02087 2.94080e-12 2.71129e-12 0
56606.17575 0.04220 1.66711e-12 1.17639e-12 0
56607.17681 0.03146 1.63054e-12 1.60961e-12 0
56932.24472 0.03239 1.52834e-12 1.84519e-12 0
56933.25772 0.05539 1.07411e-11 1.92809e-12 0
56944.21011 0.00975 4.64989e-12 4.72052e-12 0
56961.21074 0.04239 1.44255e-11 2.45867e-12 0
56962.15323 0.04148 6.39241e-12 1.98346e-12 0
56973.08424 0.01043 5.58629e-12 4.82221e-12 0
56979.13342 0.01603 3.81160e-12 3.29025e-12 0
56989.10738 0.04185 2.41095e-12 1.54530e-12 0
56990.14700 0.04208 2.75284e-13 1.15126e-12 0
57011.09478 0.01046 2.06486e-12 3.45265e-12 0
57037.08857 0.01045 8.70848e-12 5.09540e-12 0
